Session Type,Session URL,Search Id,Product Count
Advances in Diagnostics and Therapeutics,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Advances in Diagnostics and Therapeutics/1,13,9.0
Advances in Hematologic Malignancies,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Advances in Hematologic Malignancies/1,69,6.0
Advances in Organ Site Research,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Advances in Organ Site Research/1,14,10.0
Advances in Population Sciences,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Advances in Population Sciences/1,15,2.0
Advances in Prevention Research,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Advances in Prevention Research/1,16,3.0
Advances in Technologies,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Advances in Technologies/1,70,7.0
Advances in the Science of Cancer Disparities,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Advances in the Science of Cancer Disparities/1,17,2.0
Annual Reception,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Annual Reception/1,18,1.0
Awards and Lectures,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Awards and Lectures/1,19,22.0
Cancer and Biomedical Research Career Fair,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Cancer and Biomedical Research Career Fair/1,20,1.0
Clinical Trials Minisymposium,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Clinical Trials Minisymposium/1,22,3.0
Clinical Trials Plenary Session,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Clinical Trials Plenary Session/1,6,4.0
Educational Session,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Educational Session/1,23,52.0
Exhibitor Spotlight Presentation,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Exhibitor Spotlight Presentation/1,24,36.0
Forum,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Forum/1,25,9.0
Late-Breaking Minisymposium,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Late-Breaking Minisymposium/1,26,1.0
Late-Breaking Poster Session,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Late-Breaking Poster Session/1,27,20.0
Major Symposium,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Major Symposium/1,28,55.0
Meet and Greet,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Meet and Greet/1,29,12.0
Methods Workshop,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Methods Workshop/1,31,16.0
Minisymposium,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Minisymposium/1,32,37.0
NCI-NIH-Sponsored Session,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=NCI-NIH-Sponsored Session/1,33,12.0
Opening Ceremony,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Opening Ceremony/1,34,1.0
Plenary Session,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Plenary Session/1,35,6.0
Poster Session,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Poster Session/1,12,270.0
Professional Advancement Session,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Professional Advancement Session/1,36,6.0
Special Session,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Special Session/1,37,9.0
Town Meeting,https://www.abstractsonline.com/pp8/#!/20272/sessions/@sessiontype=Town Meeting/1,38,8.0
